lat,lon,alt,date,device,os,version
33.7671966553,-84.349067688,303,2012-10-26 00:55:28,"iPhone4,1",6.0,1.1
33.7621192932,-84.3508453369,304,2012-10-26 00:59:44,"iPhone4,1",6.0,1.1
33.7738418579,-84.3523025513,306.007324219,2012-10-26 04:41:36,"iPhone4,1",6.0,1.1
33.7744789124,-84.3797073364,289.625732422,2012-10-26 04:52:16,"iPhone4,1",6.0,1.1
33.7769737244,-84.3969726562,299.398742676,2012-10-26 15:55:44,"iPhone4,1",6.0,1.1
33.7801818848,-84.3889007568,294.274505615,2012-10-26 19:58:56,"iPhone4,1",6.0,1.1
33.7772712708,-84.3975219727,297.115356445,2012-10-26 21:32:48,"iPhone4,1",6.0,1.1
33.7810668945,-84.4034194946,294,2012-10-26 23:02:24,"iPhone4,1",6.0,1.1
33.7792625427,-84.4100570679,294,2012-10-26 23:06:40,"iPhone4,1",6.0,1.1
33.783821106,-84.411895752,294,2012-10-27 05:26:24,"iPhone4,1",6.0,1.1
33.7846260071,-84.4061660767,283.001586914,2012-10-27 07:02:24,"iPhone4,1",6.0,1.1
33.7841796875,-84.3990249634,288.735168457,2012-10-27 07:17:20,"iPhone4,1",6.0,1.1
33.786491394,-84.3940887451,286.696929932,2012-10-27 16:19:12,"iPhone4,1",6.0,1.1
33.7840309143,-84.3989181519,280.754699707,2012-10-27 17:23:12,"iPhone4,1",6.0,1.1
33.774471283,-84.3798217773,290.149627686,2012-10-27 23:36:32,"iPhone4,1",6.0,1.1
33.7749023438,-84.3853988647,310.481689453,2012-10-28 02:25:04,"iPhone4,1",6.0,1.1
33.78673172,-84.3984909058,279.315734863,2012-10-28 02:29:20,"iPhone4,1",6.0,1.1
33.7858543396,-84.4068908691,301.183563232,2012-10-28 03:35:28,"iPhone4,1",6.0,1.1
33.7818527222,-84.4043960571,310,2012-10-28 05:43:28,"iPhone4,1",6.0,1.1
33.7760276794,-84.386428833,304.677154541,2012-10-28 05:49:52,"iPhone4,1",6.0,1.1
33.7720413208,-84.3891143799,305.067474365,2012-10-28 06:00:32,"iPhone4,1",6.0,1.1
33.776927948,-84.3893051147,304,2012-10-28 07:15:12,"iPhone4,1",6.0,1.1
33.7721672058,-84.3636779785,311.959594727,2012-10-28 07:38:40,"iPhone4,1",6.0,1.1
33.7737312317,-84.3706970215,305.642608643,2012-10-28 07:45:04,"iPhone4,1",6.0,1.1
33.7744750977,-84.3796768188,289.871551514,2012-10-28 08:00:00,"iPhone4,1",6.0,1.1
33.7817687988,-84.3794784546,304,2012-10-28 19:09:52,"iPhone4,1",6.0,1.1
33.7850227356,-84.4040374756,294,2012-10-28 19:22:40,"iPhone4,1",6.0,1.1
33.7804069519,-84.4032440186,295.211303711,2012-10-28 21:00:48,"iPhone4,1",6.0,1.1
33.7774429321,-84.3869094849,313.037750244,2012-10-28 21:07:12,"iPhone4,1",6.0,1.1
33.7735099792,-84.3600082397,304,2012-10-28 21:11:28,"iPhone4,1",6.0,1.1
33.7702140808,-84.3524398804,290.573486328,2012-10-28 21:17:52,"iPhone4,1",6.0,1.1
33.8015708923,-84.3374023438,283,2012-10-28 22:47:28,"iPhone4,1",6.0,1.1
33.8184547424,-84.3508834839,258.706756592,2012-10-28 23:00:16,"iPhone4,1",6.0,1.1
33.7847862244,-84.3417205811,303,2012-10-29 01:38:08,"iPhone4,1",6.0,1.1
33.7713356018,-84.3474273682,312.723693848,2012-10-29 01:44:32,"iPhone4,1",6.0,1.1
33.7737312317,-84.3573608398,304,2012-10-29 03:09:52,"iPhone4,1",6.0,1.1
33.7743644714,-84.3798904419,290.744384766,2012-10-29 03:16:16,"iPhone4,1",6.0,1.1
33.7770500183,-84.391746521,306.404693604,2012-10-29 16:14:56,"iPhone4,1",6.0,1.1
33.7771720886,-84.3975143433,269.007781982,2012-10-29 16:19:12,"iPhone4,1",6.0,1.1
33.7769622803,-84.3904266357,306.028564453,2012-10-30 03:48:16,"iPhone4,1",6.0,1.1
33.7744407654,-84.3797225952,290.299468994,2012-10-30 04:11:44,"iPhone4,1",6.0,1.1
33.7760925293,-84.3850860596,302.975769043,2012-10-30 15:34:24,"iPhone4,1",6.0,1.1
33.7770996094,-84.3971481323,299.69152832,2012-10-30 15:38:40,"iPhone4,1",6.0,1.1
33.7761192322,-84.3846664429,283.36807251,2012-10-30 23:21:36,"iPhone4,1",6.0,1.1
33.7781066895,-84.3686676025,303,2012-10-31 00:29:52,"iPhone4,1",6.0,1.1
33.7743186951,-84.3797836304,298.422729492,2012-10-31 00:40:32,"iPhone4,1",6.0,1.1
33.7773933411,-84.3896408081,303,2012-10-31 14:24:00,"iPhone4,1",6.0,1.1
